"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"182920",1,1,2,1,3,3,-0.6,0,724,3,"fourth","3","2",0,0,0,0,1
"182938",0,1,2,2,3,3,0.44,0,724,1,"fourth","4","2",0,0,0,0,1
"182943",1,0,6,1,5,2,-0.52,5,724,4,"first","1","1",0,0,0,0,1
"183009",0,0,1,4,1,1,1,0,724,1,"third","3","2",0,0,0,0,1
"183099",0,1,2,1,3,3,-0.36,1,724,4,"first","2","1",0,0,0,0,1
"183260",1,0,2,1,3,3,-0.84,3,724,3,"first","2","1",0,0,0,0,1
"183279",0,1,3,1,3,3,-0.6,0,724,2,"third","4","2",0,0,0,0,1
"183302",0,1,2,2,1,1,-0.36,1,724,1,"first","2","1",0,0,0,0,1
"183371",0,0,2,5,5,3,-0.52,2,724,2,"second","2","1",0,0,0,0,1
"183420",0,0,1,1,4,3,-0.52,9,724,4,"first","2","1",0,0,0,0,1
"183423",0,1,2,1,4,3,-0.68,0,724,4,"second","2","1",0,0,0,0,1
"183427",1,1,2,1,3,3,-0.68,2,724,4,"second","2","1",0,0,0,0,1
"183431",0,1,2,3,3,3,-0.68,0,724,4,"third","3","2",0,0,0,0,1
"183456",0,1,2,1,3,3,0.04,0,724,4,"fourth","2","1",0,0,0,0,1
"183519",1,1,2,1,3,3,-0.52,1,724,3,"second","3","2",0,0,0,0,1
"183523",0,1,2,1,4,3,-0.76,1,724,3,"second","3","2",0,0,0,0,1
"183558",0,1,4,3,1,2,-0.28,4,724,4,"first","3","2",0,0,0,0,1
"183625",0,1,2,1,3,3,-0.04,4,724,4,"first","1","1",0,0,0,0,1
"183634",0,1,2,3,4,1,0.36,1,724,1,"third","4","2",0,0,0,0,1
"183728",0,1,3,1,4,4,-0.2,0,724,1,"third","3","2",0,0,0,0,1
"183798",0,1,3,1,4,3,-0.28,1,724,4,"first","3","2",0,0,0,0,1
"183833",0,1,3,1,3,3,-0.36,1,724,4,"first","4","2",0,0,0,0,1
"183877",1,0,2,3,2,3,-0.28,0,724,1,"third","4","2",0,0,0,0,1
"183907",1,0,2,1,2,2,0.2,3,724,3,"first","3","2",0,0,0,0,1
"184000",0,1,3,1,2,3,-0.36,1,724,3,"second","2","1",0,0,0,0,1
"184084",0,1,2,1,3,3,-0.92,1,724,3,"second","3","2",0,0,0,0,1
"184141",0,1,2,4,3,2,0.68,0,724,2,"fourth","4","2",0,0,0,0,1
"184160",0,1,3,1,1,1,-0.52,0,724,4,"second","2","1",0,0,0,0,1
"184202",0,1,2,1,1,2,-0.36,0,724,3,"second","3","2",0,0,0,0,1
"184213",0,1,5,1,5,5,-0.68,0,724,1,"second","1","1",0,0,0,0,1
"184220",1,1,2,2,3,3,-0.92,5,724,1,"second","2","1",0,0,0,0,1
"184222",0,1,2,2,3,3,-0.6,2,724,1,"second","2","1",0,0,0,0,1
"184255",0,1,4,1,3,3,-0.36,1,724,4,"second","2","1",0,0,0,0,1
"184277",1,0,1,1,3,3,-0.36,1,724,4,"first","4","2",0,0,0,0,1
"184292",0,0,1,1,3,3,-0.36,5,724,3,"first","2","1",0,0,0,0,1
"184296",1,1,2,1,3,3,-0.84,6,724,1,"second","3","2",0,0,0,0,1
"184452",0,0,1,1,4,4,-0.52,3,724,4,"first","3","2",0,0,0,0,1
"184546",0,1,2,1,4,3,-0.68,2,724,3,"first","1","1",0,0,0,0,1
"184565",0,1,2,1,3,3,-0.44,1,724,5,"fourth","4","2",0,0,0,0,1
"184606",1,0,2,2,3,3,-0.2,3,724,4,"first","3","2",0,0,0,0,1
"184610",0,0,1,1,3,3,-0.36,1,724,2,"second","3","2",0,0,0,0,1
"184615",0,1,2,1,3,3,-0.12,2,724,4,"first","1","1",0,0,0,0,1
"184681",0,1,2,1,4,3,-0.04,1,724,1,"fourth","1","1",0,0,0,0,1
"184753",1,1,4,1,3,3,-0.76,1,724,4,"third","2","1",0,0,0,0,1
"184883",0,1,2,3,2,2,0.04,2,724,4,"fourth","3","2",0,0,0,0,1
"184886",1,1,2,4,1,1,0.2,4,724,4,"fourth","3","2",0,0,0,0,1
"184889",1,0,1,2,3,3,-0.6,1,724,2,"first","3","2",0,0,0,0,1
"185010",1,0,1,4,2,2,0.12,6,724,3,"third","4","2",0,0,0,0,1
"185015",1,0,3,2,3,3,-0.76,8,724,2,"first","4","2",0,0,0,0,1
"185027",0,1,3,5,2,3,0.68,0,724,1,"fourth","3","2",0,0,0,0,1
"185056",1,1,2,3,3,3,-0.36,1,724,1,"fourth","3","2",0,0,0,0,1
"185080",0,1,2,1,3,5,-0.68,4,724,4,"first","3","2",0,0,0,0,1
"185096",1,1,2,1,2,2,-0.36,5,724,4,"third","4","2",0,0,0,0,1
"185236",0,1,3,1,5,5,-0.76,3,724,4,"first","2","1",0,0,0,0,1
"185264",0,1,3,3,3,3,-0.36,4,724,4,"second","2","1",0,0,0,0,1
"185271",1,1,2,1,2,3,0.28,3,724,4,"fourth","3","2",0,0,0,0,1
"185297",0,1,2,2,3,3,0.28,0,724,1,"second","3","2",0,0,0,0,1
"185376",0,1,2,2,3,3,-0.52,0,724,1,"third","4","2",0,0,0,0,1
"185380",1,1,2,2,3,3,-0.52,2,724,1,"third","4","2",0,0,0,0,1
"185527",0,1,2,1,3,3,-0.2,0,724,3,"first","3","2",0,0,0,0,1
"185592",1,0,2,3,4,3,-0.36,4,724,4,"first","2","1",0,0,0,0,1
"185622",1,0,1,2,3,3,-0.04,2,724,4,"first","3","2",0,0,0,0,1
"185639",1,0,1,1,2,2,-0.2,4,724,2,"first","2","1",0,0,0,0,1
"185692",1,1,2,1,4,4,-0.68,0,724,4,"third","3","2",0,0,0,0,1
"185697",0,1,2,1,4,3,-0.6,1,724,4,"third","3","2",0,0,0,0,1
"185805",0,1,3,1,3,3,-0.92,1,724,3,"third","2","1",0,0,0,0,1
"185811",1,1,1,1,3,3,-0.52,5,724,3,"first","4","2",0,0,0,0,1
"185871",0,1,4,1,3,3,-0.76,3,724,4,"second","2","1",0,0,0,0,1
"185880",0,1,5,3,4,2,-0.6,2,724,3,"second","2","1",0,0,0,0,1
"185990",0,1,5,3,2,1,-0.2,3,724,1,"fourth","2","1",0,0,0,0,1
"185999",0,1,3,1,3,3,-0.36,1,724,4,"second","3","2",0,0,0,0,1
"186004",1,1,3,2,3,3,-0.2,0,724,4,"second","3","2",0,0,0,0,1
"186027",0,0,3,1,2,2,0.12,2,724,4,"first","3","2",0,0,0,0,1
"186032",1,0,1,1,2,2,0.04,5,724,3,"third","3","2",0,0,0,0,1
"186065",0,1,2,1,4,4,-0.28,3,724,4,"first","3","2",0,0,0,0,1
"186070",1,0,2,2,2,2,-0.28,1,724,3,"first","4","2",0,0,0,0,1
"186168",0,1,2,1,3,3,-0.92,1,724,1,"first","2","1",0,0,0,0,1
"186239",0,1,3,1,1,3,0.2,0,724,2,"third","2","1",0,0,0,0,1
"186241",1,1,3,1,3,3,-0.2,0,724,2,"third","2","1",0,0,0,0,1
"186348",0,0,1,1,4,4,-0.36,2,724,3,"third","4","2",0,0,0,0,1
"186416",0,1,2,1,3,3,-0.84,3,724,5,"first","3","2",0,0,0,0,1
"186434",0,1,3,2,4,4,-0.28,3,724,3,"third","3","2",0,0,0,0,1
"186456",0,1,2,2,3,3,-0.52,7,724,1,"second","2","1",0,0,0,0,1
"186459",1,1,2,1,2,2,-0.52,6,724,1,"second","2","1",0,0,0,0,1
"186473",0,1,2,4,3,3,0.68,0,724,4,"fourth","4","2",0,0,0,0,1
"186486",0,1,2,1,2,2,0.12,1,724,3,"fourth","4","2",0,0,0,0,1
"186490",1,1,2,2,3,3,0.12,1,724,3,"fourth","4","2",0,0,0,0,1
"186502",1,0,1,2,4,3,-0.28,0,724,1,"first","3","2",0,0,0,0,1
"186525",0,1,2,1,3,3,-0.28,2,724,2,"second","3","2",0,0,0,0,1
"186551",1,1,2,3,1,2,-0.04,0,724,1,"third","4","2",0,0,0,0,1
"186555",0,1,2,1,2,3,-0.2,0,724,1,"third","4","2",0,0,0,0,1
"186598",1,1,2,2,3,3,-0.84,0,724,4,"third","2","1",0,0,0,0,1
"186623",0,1,2,1,3,4,-0.04,1,724,1,"first","4","2",0,0,0,0,1
"186651",0,1,2,1,3,3,-0.6,7,724,5,"second","2","1",0,0,0,0,1
"186662",0,1,2,1,3,3,-0.36,1,724,3,"third","2","1",0,0,0,0,1
"186704",1,0,2,1,3,4,-0.36,0,724,1,"first","2","1",0,0,0,0,1
"186737",0,1,2,3,2,3,-0.36,0,724,3,"second","1","1",0,0,0,0,1
"186874",0,1,3,4,2,3,-0.04,4,724,4,"second","2","1",0,0,0,0,1
"186878",1,1,3,5,4,4,0.12,5,724,4,"second","2","1",0,0,0,0,1
"186935",1,1,4,1,3,3,-0.76,1,724,4,"third","1","1",0,0,0,0,1
"186940",0,1,4,1,3,3,-0.52,1,724,4,"third","1","1",0,0,0,0,1
"187047",0,1,3,3,4,4,-0.68,0,724,4,"second","3","2",0,0,0,0,1
"187076",0,1,2,4,4,2,0.12,0,724,4,"fourth","4","2",0,0,0,0,1
"187099",1,1,2,1,2,3,-0.52,0,724,3,"third","4","2",0,0,0,0,1
"187156",0,0,2,3,1,1,0.36,3,724,4,"fourth","4","2",0,0,0,0,1
"187209",0,0,1,1,1,2,0.12,5,724,1,"third","4","2",0,0,0,0,1
"187215",0,0,1,1,3,3,-1,6,724,3,"first","2","1",0,0,0,0,1
"187269",0,1,4,3,3,3,-0.76,0,724,4,"first","2","1",0,0,0,0,1
"187281",1,1,2,1,3,3,-0.44,8,724,4,"third","3","2",0,0,0,0,1
"187284",0,1,2,1,3,3,-0.6,5,724,4,"third","3","2",0,0,0,0,1
"187297",0,0,1,1,4,3,-0.36,1,724,1,"third","4","2",0,0,0,0,1
"187350",1,0,1,1,4,4,-0.52,8,724,5,"first","2","1",0,0,0,0,1
"187522",1,1,2,3,3,3,0.84,0,724,1,"fourth","3","2",0,0,0,0,1
"187528",0,1,2,3,3,3,0.36,0,724,1,"fourth","3","2",0,0,0,0,1
"187551",1,0,1,3,2,2,0.04,2,724,3,"third","4","2",0,0,0,0,1
"187560",0,1,4,1,3,3,-0.44,0,724,1,"third","4","2",0,0,0,0,1
"187600",0,1,3,4,3,3,0.2,0,724,1,"third","3","2",0,0,0,0,1
"187779",1,1,2,2,2,2,0.28,2,724,3,"fourth","4","2",0,0,0,0,1
"187895",0,1,2,1,3,3,-0.6,3,724,3,"second","2","1",0,0,0,0,1
"187901",1,1,2,2,3,3,-0.52,2,724,3,"second","2","1",0,0,0,0,1
"187947",0,1,2,1,3,3,-1,1,724,4,"first","3","2",0,0,0,0,1
"187975",0,0,1,2,3,3,-0.04,3,724,1,"second","4","2",0,0,0,0,1
"187978",1,0,2,1,2,2,-0.6,2,724,3,"first","1","1",0,0,0,0,1
"188015",0,1,2,2,3,3,-0.2,0,724,1,"third","3","2",0,0,0,0,1
"188090",0,1,2,1,3,3,-0.2,0,724,3,"second","4","2",0,0,0,0,1
"188117",0,1,2,2,3,3,-0.68,1,724,4,"first","3","2",0,0,0,0,1
"188122",0,0,2,1,3,2,0.04,1,724,3,"first","2","1",0,0,0,0,1
"188150",0,0,1,2,3,3,-0.6,0,724,4,"first","4","2",0,0,0,0,1
"188153",0,1,2,3,3,3,0.28,1,724,1,"second","4","2",0,0,0,0,1
"188179",0,1,3,2,2,2,0.2,1,724,3,"second","2","1",0,0,0,0,1
"188271",0,1,4,1,3,3,-0.2,0,724,5,"first","2","1",0,0,0,0,1
"188281",1,1,2,1,3,3,-0.36,1,724,1,"fourth","3","2",0,0,0,0,1
"188334",0,1,2,2,3,2,-0.2,0,724,4,"fourth","4","2",0,0,0,0,1
"188366",0,1,2,4,4,1,1,1,724,1,"second","4","2",0,0,0,0,1
"188425",0,1,2,1,3,3,-0.36,0,724,4,"second","3","2",0,0,0,0,1
"188429",1,1,2,1,3,3,-0.28,1,724,4,"second","3","2",0,0,0,0,1
"188490",1,1,2,2,4,4,-0.52,0,724,1,"third","4","2",0,0,0,0,1
"188496",0,1,2,1,2,3,-0.52,1,724,1,"third","4","2",0,0,0,0,1
"188582",0,1,2,3,3,1,-0.28,3,724,4,"fourth","3","2",0,0,0,0,1
"188583",1,1,2,3,4,2,-0.2,2,724,4,"fourth","3","2",0,0,0,0,1
"188702",0,0,1,1,4,4,-0.6,1,724,4,"first","2","1",0,0,0,0,1
"188740",0,1,3,2,3,4,0.44,2,724,1,"third","3","2",0,0,0,0,1
"188828",0,1,2,3,1,1,-0.12,0,724,4,"second","3","2",0,0,0,0,1
"188894",1,0,1,2,3,3,-0.36,2,724,1,"first","3","2",0,0,0,0,1
"188969",1,1,2,3,3,1,0.28,0,724,3,"fourth","3","2",0,0,0,0,1
"188972",0,1,2,2,3,3,-0.2,1,724,3,"fourth","3","2",0,0,0,0,1
"188997",1,0,1,2,3,3,-0.04,3,724,5,"first","2","1",0,0,0,0,1
"189053",0,1,3,1,3,3,-1,0,724,4,"second","3","2",0,0,0,0,1
"189093",1,1,2,1,3,3,-0.04,2,724,4,"second","4","2",0,0,0,0,1
"189105",1,0,2,1,3,3,-0.2,3,724,4,"fourth","3","2",0,0,0,0,1
"189125",0,1,2,1,3,3,-0.76,1,724,5,"second","2","1",0,0,0,0,1
"189129",1,1,2,1,2,3,-0.6,2,724,5,"second","2","1",0,0,0,0,1
"189133",0,1,2,1,1,1,0.04,0,724,4,"fourth","4","2",0,0,0,0,1
"189138",1,1,2,1,4,3,0.28,4,724,4,"fourth","4","2",0,0,0,0,1
"189143",0,0,3,2,3,3,-0.44,6,724,1,"third","3","2",0,0,0,0,1
"189198",0,0,1,1,2,3,-0.36,1,724,1,"second","2","1",0,0,0,0,1
"189362",1,0,2,1,3,3,-0.04,2,724,4,"first","2","1",0,0,0,0,1
"189419",0,1,2,1,3,3,-0.44,1,724,4,"second","2","1",0,0,0,0,1
"189531",0,1,2,3,2,3,-0.12,0,724,4,"third","4","2",0,0,0,0,1
"189533",0,1,2,4,3,3,0.6,0,724,2,"third","4","2",0,0,0,0,1
"189631",0,1,2,2,3,3,-0.68,1,724,4,"first","2","1",0,0,0,0,1
"189645",0,1,3,2,3,3,-0.68,6,724,2,"first","3","2",0,0,0,0,1
"189706",0,1,2,2,3,3,-0.36,2,724,3,"first","3","2",0,0,0,0,1
"189718",0,1,2,1,2,2,-0.52,1,724,2,"second","2","1",0,0,0,0,1
"189724",0,1,3,1,3,3,-0.2,0,724,3,"third","4","2",0,0,0,0,1
"189729",1,1,3,1,3,3,-0.2,0,724,3,"third","4","2",0,0,0,0,1
"189754",0,1,2,2,3,3,-0.36,2,724,4,"first","2","1",0,0,0,0,1
"189888",0,1,4,2,3,3,-0.36,2,724,4,"second","2","1",0,0,0,0,1
"189893",1,1,4,1,3,3,-0.44,5,724,4,"second","2","1",0,0,0,0,1
"189900",1,1,2,2,3,3,-0.2,1,724,4,"third","2","1",0,0,0,0,1
"189904",0,1,2,2,3,2,0.6,3,724,4,"third","2","1",0,0,0,0,1
"190164",0,1,2,1,2,1,-0.76,4,724,4,"second","4","2",0,0,0,0,1
"190204",0,1,2,2,3,3,-0.92,1,724,4,"second","1","1",0,0,0,0,1
"190323",1,0,1,3,1,1,0.6,1,724,1,"third","3","2",0,0,0,0,1
"190325",0,0,1,2,4,3,-0.52,1,724,3,"second","4","2",0,0,0,0,1
"190343",0,1,2,1,2,2,-0.12,0,724,4,"third","4","2",0,0,0,0,1
"190346",1,1,2,2,3,3,-0.6,0,724,4,"third","4","2",0,0,0,0,1
"190440",0,1,3,2,3,3,-0.2,7,724,3,"second","1","1",0,0,0,0,1
"190593",1,1,2,3,2,1,0.04,5,724,4,"fourth","2","1",0,0,0,0,1
"190596",0,1,2,2,3,2,-0.28,2,724,4,"fourth","2","1",0,0,0,0,1
"190616",1,1,2,2,3,3,0.2,1,724,4,"fourth","3","2",0,0,0,0,1
"190731",0,1,2,1,3,3,-0.92,4,724,3,"first","2","1",0,0,0,0,1
"190936",0,1,2,1,3,3,-0.44,1,724,1,"second","3","2",0,0,0,0,1
"191065",0,1,5,1,2,2,-0.36,2,724,4,"second","3","2",0,0,0,0,1
"191071",0,1,3,1,3,3,-0.84,1,724,4,"first","1","1",0,0,0,0,1
"191092",1,0,2,1,2,2,-0.36,2,724,4,"second","4","2",0,0,0,0,1
"191132",0,1,2,2,3,3,-0.44,1,724,4,"fourth","3","2",0,0,0,0,1
"191166",1,0,3,1,3,3,-0.84,2,724,1,"first","2","1",0,0,0,0,1
"191174",0,1,2,1,3,3,-0.36,2,724,1,"third","3","2",0,0,0,0,1
"191188",1,1,2,1,4,2,-0.36,3,724,4,"second","3","2",0,0,0,0,1
"191192",0,1,2,1,4,3,-0.36,3,724,4,"second","3","2",0,0,0,0,1
"191238",0,1,4,2,3,3,0.28,0,724,1,"fourth","4","2",0,0,0,0,1
"191250",0,1,2,1,3,4,-0.2,1,724,2,"third","4","2",0,0,0,0,1
"191254",0,0,1,1,3,3,-0.76,4,724,1,"first","4","2",0,0,0,0,1
"191291",0,1,5,1,4,4,-0.84,0,724,5,"first","2","1",0,0,0,0,1
"191395",0,1,2,1,3,3,0.12,0,724,2,"third","4","2",0,0,0,0,1
"191568",0,1,4,1,3,3,-0.68,3,724,3,"second","1","1",0,0,0,0,1
"191572",1,1,4,1,3,3,-0.36,7,724,3,"second","1","1",0,0,0,0,1
"191612",0,0,1,1,3,3,-0.68,1,724,4,"first","3","2",0,0,0,0,1
"191647",0,1,2,1,3,3,-0.68,0,724,3,"first","2","1",0,0,0,0,1
"191652",0,1,3,3,3,3,-0.44,0,724,4,"third","2","1",0,0,0,0,1
"191725",0,1,2,1,4,3,-0.2,3,724,1,"first","2","1",0,0,0,0,1
"191738",0,1,2,1,2,2,-0.2,4,724,4,"second","3","2",0,0,0,0,1
"191766",0,1,2,1,3,3,-0.2,0,724,3,"first","3","2",0,0,0,0,1
"191812",0,1,2,1,4,5,-0.2,5,724,4,"first","1","1",0,0,0,0,1
"191824",0,1,2,2,3,3,-0.76,0,724,3,"second","4","2",0,0,0,0,1
"191874",1,0,1,1,4,2,-0.6,0,724,4,"first","4","2",0,0,0,0,1
"191909",0,1,2,3,3,3,0.12,2,724,3,"first","3","2",0,0,0,0,1
"191951",0,1,2,1,2,4,-0.68,3,724,1,"first","2","1",0,0,0,0,1
"192078",1,1,4,2,3,3,-0.28,9,724,4,"third","2","1",0,0,0,0,1
"192082",0,1,4,2,2,2,-0.04,3,724,4,"third","2","1",0,0,0,0,1
"192118",0,1,3,1,3,3,0.6,0,724,2,"third","3","2",0,0,0,0,1
"192161",0,1,2,1,3,3,-0.36,0,724,4,"third","3","2",0,0,0,0,1
"192166",1,1,2,2,3,3,-0.36,0,724,4,"third","3","2",0,0,0,0,1
"192333",0,1,2,1,3,3,-0.6,8,724,4,"second","3","2",0,0,0,0,1
"192337",1,1,2,3,4,2,-0.28,5,724,3,"fourth","2","1",0,0,0,0,1
"192341",0,1,2,2,3,3,-0.04,5,724,3,"fourth","2","1",0,0,0,0,1
"192465",0,1,4,2,4,3,-0.36,9,724,5,"first","3","2",0,0,0,0,1
"192502",1,1,2,1,3,3,-0.68,7,724,3,"second","4","2",0,0,0,0,1
"192505",0,1,2,2,3,3,-0.68,7,724,3,"second","4","2",0,0,0,0,1
"192531",0,1,2,1,3,2,-0.36,6,724,1,"second","2","1",0,0,0,0,1
"192536",1,1,2,2,3,2,-0.84,1,724,4,"first","1","1",0,0,0,0,1
"192539",0,1,2,1,3,3,-0.84,2,724,4,"first","1","1",0,0,0,0,1
"192596",0,1,2,1,2,3,0.28,1,724,3,"third","4","2",0,0,0,0,1
"192695",1,1,2,1,3,3,-0.6,1,724,3,"third","4","2",0,0,0,0,1
"192710",1,0,1,1,3,3,-0.44,5,724,1,"second","3","2",0,0,0,0,1
"192722",0,1,2,1,3,3,-0.52,0,724,3,"first","3","2",0,0,0,0,1
"192727",1,1,2,1,3,3,-0.52,0,724,3,"first","3","2",0,0,0,0,1
"192777",0,1,3,2,3,3,-0.2,0,724,1,"second","4","2",0,0,0,0,1
"192781",1,1,3,2,4,4,-0.6,3,724,1,"second","4","2",0,0,0,0,1
"192793",1,1,2,1,1,1,-0.36,10,724,1,"third","2","1",0,0,0,0,1
"192803",0,1,4,1,4,4,-0.52,0,724,3,"second","2","1",0,0,0,0,1
"192822",1,0,2,1,4,4,-0.68,4,724,4,"first","1","1",0,0,0,0,1
"192947",0,1,2,4,2,2,-0.36,0,724,4,"third","3","2",0,0,0,0,1
"192966",0,1,2,1,3,3,-0.52,0,724,4,"second","2","1",0,0,0,0,1
"193049",0,1,2,2,4,3,-0.84,2,724,4,"second","2","1",0,0,0,0,1
"193127",0,0,3,1,3,3,-0.76,5,724,4,"first","1","1",0,0,0,0,1
"193192",0,1,3,2,3,3,-0.6,0,724,4,"third","2","1",0,0,0,0,1
"193197",1,1,3,2,3,3,-1,0,724,4,"third","2","1",0,0,0,0,1
"193332",0,1,2,1,4,4,-0.6,3,724,4,"first","2","1",0,0,0,0,1
"193453",1,0,1,1,3,3,0.6,2,724,2,"second","3","2",0,0,0,0,1
"193467",0,1,2,1,4,3,-0.6,1,724,5,"third","4","2",0,0,0,0,1
"193506",0,1,2,1,3,3,0.2,5,724,4,"third","2","1",0,0,0,0,1
"193510",1,1,2,1,4,3,-0.12,4,724,4,"third","2","1",0,0,0,0,1
"193513",0,1,2,1,3,3,-1,6,724,4,"second","3","2",0,0,0,0,1
"193516",1,1,2,1,4,4,-1,3,724,4,"second","3","2",0,0,0,0,1
"193606",1,1,3,2,3,3,-0.28,4,724,2,"third","3","2",0,0,0,0,1
"193627",0,1,2,2,3,3,-0.36,5,724,1,"second","3","2",0,0,0,0,1
"193706",0,1,3,3,4,4,0.04,0,724,1,"third","4","2",0,0,0,0,1
"193739",0,0,1,1,1,3,-0.6,0,724,1,"second","4","2",0,0,0,0,1
"193880",0,1,4,1,2,2,-0.04,3,724,3,"fourth","4","2",0,0,0,0,1
"193930",0,0,1,1,4,4,-0.28,0,724,4,"first","4","2",0,0,0,0,1
"194072",1,0,2,2,3,3,-0.92,3,724,4,"second","2","1",0,0,0,0,1
"194145",0,1,3,3,3,3,-0.6,3,724,4,"second","2","1",0,0,0,0,1
"194180",0,1,3,1,3,3,-0.52,0,724,3,"second","3","2",0,0,0,0,1
"194299",0,1,2,1,2,1,-0.36,5,724,2,"fourth","4","2",0,0,0,0,1
"194301",1,1,2,1,3,3,-0.84,1,724,2,"fourth","4","2",0,0,0,0,1
"194306",0,1,5,1,5,5,-0.84,5,724,3,"second","3","2",0,0,0,0,1
"194355",0,1,2,2,3,3,-0.2,0,724,2,"second","3","2",0,0,0,0,1
"194358",1,1,2,1,4,1,-0.68,6,724,2,"second","3","2",0,0,0,0,1
"194396",0,1,5,2,3,3,-0.12,1,724,4,"first","2","1",0,0,0,0,1
"194422",0,1,2,1,2,2,-0.2,0,724,1,"first","1","1",0,0,0,0,1
"194426",1,1,2,1,3,3,-0.68,10,724,1,"first","1","1",0,0,0,0,1
"194452",0,1,3,1,1,2,-0.76,1,724,4,"first","3","2",0,0,0,0,1
"194460",0,1,2,1,2,2,-0.6,2,724,3,"second","2","1",0,0,0,0,1
"194464",1,1,2,1,3,3,-0.52,1,724,3,"second","2","1",0,0,0,0,1
"194715",0,1,2,1,1,3,-0.28,0,724,4,"third","3","2",0,0,0,0,1
"194869",1,0,2,2,3,3,-0.6,1,724,3,"first","3","2",0,0,0,0,1
"194889",1,1,2,2,3,3,-0.52,6,724,4,"second","2","1",0,0,0,0,1
"194893",0,1,2,2,3,3,-0.52,0,724,4,"second","2","1",0,0,0,0,1
"194935",0,1,2,3,2,3,0.76,0,724,1,"second","3","2",0,0,0,0,1
"194946",0,1,2,1,4,4,-0.84,6,724,1,"second","4","2",0,0,0,0,1
"194950",1,1,2,1,3,3,-0.36,0,724,1,"second","4","2",0,0,0,0,1
"194981",0,1,2,1,1,1,-0.44,3,724,3,"second","2","1",0,0,0,0,1
"194992",0,1,3,1,3,3,-0.52,0,724,4,"second","3","2",0,0,0,0,1
"195065",0,1,3,2,3,3,-0.2,0,724,3,"first","1","1",0,0,0,0,1
"195069",0,1,3,1,4,3,-0.36,2,724,4,"first","1","1",0,0,0,0,1
"195082",0,1,2,1,3,3,-0.2,1,724,4,"third","3","2",0,0,0,0,1
"195126",1,1,1,1,3,1,-0.2,9,724,1,"second","2","1",0,0,0,0,1
"195166",0,1,2,1,3,3,-0.2,4,724,2,"first","2","1",0,0,0,0,1
"195197",0,1,2,3,3,3,-0.36,1,724,3,"fourth","3","2",0,0,0,0,1
"195349",0,1,2,1,2,3,-0.68,8,724,4,"first","1","1",0,0,0,0,1
"195355",0,0,2,1,2,3,-0.36,5,724,1,"second","3","2",0,0,0,0,1
"195371",1,1,2,5,3,3,0.12,2,724,1,"fourth","4","2",0,0,0,0,1
"195421",0,1,2,1,4,3,-0.68,3,724,4,"second","2","1",0,0,0,0,1
"195452",0,1,4,1,3,3,0.2,0,724,1,"fourth","2","1",0,0,0,0,1
"195498",1,1,2,1,3,3,0.2,2,724,2,"third","2","1",0,0,0,0,1
"195500",0,1,2,2,2,3,-0.28,1,724,2,"third","2","1",0,0,0,0,1
"195544",1,1,3,3,3,1,0.2,7,724,4,"second","2","1",0,0,0,0,1
"195597",0,1,2,2,3,3,-0.04,4,724,1,"first","1","1",0,0,0,0,1
"195674",0,1,2,1,3,3,-1,3,724,4,"first","2","1",0,0,0,0,1
"195681",0,1,2,1,3,3,-0.52,1,724,1,"third","4","2",0,0,0,0,1
"195703",0,1,2,1,3,3,-0.12,4,724,4,"first","2","1",0,0,0,0,1
"195723",1,0,1,4,2,2,0.12,5,724,1,"first","3","2",0,0,0,0,1
"195728",0,1,3,4,2,1,0.6,1,724,4,"third","3","2",0,0,0,0,1
"195732",1,1,3,2,2,3,0.28,3,724,4,"third","3","2",0,0,0,0,1
"195863",0,1,2,1,3,3,0.04,0,724,4,"second","3","2",0,0,0,0,1
"195891",0,1,5,2,3,3,-0.36,8,724,4,"second","2","1",0,0,0,0,1
"195925",0,0,3,1,3,3,-0.6,3,724,3,"first","3","2",0,0,0,0,1
"195965",0,1,3,4,3,3,-0.84,5,724,3,"second","3","2",0,0,0,0,1
"196027",0,1,2,2,2,2,-0.04,3,724,1,"fourth","4","2",0,0,0,0,1
"196183",0,0,4,1,3,4,0.12,2,724,4,"first","3","2",0,0,0,0,1
"196301",0,1,2,2,3,3,-0.52,0,724,4,"second","2","1",0,0,0,0,1
"196480",0,1,3,1,2,2,-0.68,0,724,4,"first","2","1",0,0,0,0,1
"196514",1,1,2,3,2,4,-0.28,1,724,2,"fourth","3","2",0,0,0,0,1
"196811",0,1,1,4,2,2,0.44,0,724,1,"third","4","2",0,0,0,0,1
"196824",1,1,2,1,3,3,-0.68,2,724,3,"second","4","2",0,0,0,0,1
"196846",0,1,3,1,1,1,-0.52,1,724,1,"first","3","2",0,0,0,0,1
"196994",0,1,2,1,3,3,-0.44,1,724,4,"second","2","1",0,0,0,0,1
"197029",0,0,1,2,4,4,-0.44,5,724,4,"first","1","1",0,0,0,0,1
"197071",0,0,1,1,3,3,-1,0,724,4,"first","2","1",0,0,0,0,1
"197098",0,1,2,1,2,3,0.12,3,724,3,"third","4","2",0,0,0,0,1
"197138",0,1,2,5,1,1,-0.04,3,724,1,"third","2","1",0,0,0,0,1
"197196",0,1,2,1,5,4,-0.76,1,724,3,"second","2","1",0,0,0,0,1
"197221",0,0,3,3,3,3,-0.36,3,724,4,"second","1","1",0,0,0,0,1
"197236",0,1,2,2,3,3,-0.36,1,724,4,"second","3","2",0,0,0,0,1
