"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"105858",0,1,2,1,1,3,-0.12,4,276,5,"third","2","1",0,1,0,0,0
"105874",0,1,2,4,5,3,0.2,2,276,3,"fourth","3","2",0,1,0,0,0
"105878",1,1,2,1,4,1,-0.04,6,276,3,"fourth","3","2",0,1,0,0,0
"105912",1,0,1,2,4,3,-0.36,1,276,5,"second","4","2",0,1,0,0,0
"105917",1,1,2,1,3,3,-0.04,4,276,1,"fourth","4","2",0,1,0,0,0
"105921",0,1,2,1,2,2,0.04,2,276,1,"fourth","4","2",0,1,0,0,0
"105927",1,1,2,2,3,2,0.28,0,276,5,"third","4","2",0,1,0,0,0
"105949",1,1,2,1,2,2,0.04,5,276,4,"third","4","2",0,1,0,0,0
"105951",0,1,2,1,3,3,-0.12,2,276,4,"third","4","2",0,1,0,0,0
"105953",1,1,2,1,3,3,-0.12,0,276,5,"third","3","2",0,1,0,0,0
"105957",0,1,2,2,1,2,-0.12,1,276,5,"third","3","2",0,1,0,0,0
"105963",1,0,2,2,1,2,-0.2,1,276,4,"second","3","2",0,1,0,0,0
"105968",0,1,2,4,3,3,0.36,1,276,4,"fourth","3","2",0,1,0,0,0
"105971",1,1,2,3,2,2,0.36,1,276,4,"fourth","3","2",0,1,0,0,0
"105975",1,1,2,1,3,3,-0.12,4,276,3,"fourth","4","2",0,1,0,0,0
"105979",0,1,2,3,2,3,0.28,1,276,3,"fourth","4","2",0,1,0,0,0
"105983",0,1,2,1,3,3,0.36,1,276,1,"fourth","4","2",0,1,0,0,0
"105988",1,0,2,2,3,3,-0.12,3,276,4,"fourth","4","2",0,1,0,0,0
"106006",1,0,1,1,3,3,-0.04,3,276,4,"first","1","1",0,1,0,0,0
"106008",0,1,2,3,3,3,-0.2,2,276,5,"fourth","4","2",0,1,0,0,0
"106014",0,1,2,2,1,2,0.76,4,276,4,"fourth","4","2",0,1,0,0,0
"106015",1,1,2,2,3,2,-0.12,3,276,4,"fourth","4","2",0,1,0,0,0
"106016",0,0,1,1,3,3,-0.12,3,276,1,"second","3","2",0,1,0,0,0
"106036",0,1,1,4,3,3,0.2,3,276,3,"first","4","2",0,1,0,0,0
"106067",1,0,1,1,3,3,-0.36,3,276,3,"first","2","1",0,1,0,0,0
"106071",0,1,2,5,3,3,0.44,0,276,1,"third","3","2",0,1,0,0,0
